filename	acq_time	operator	randstr
anat/sub-sid11_ses-01_scout1.nii.gz	2018-10-09T17:21:49	n/a	d&*Y/u0{
anat/sub-sid11_ses-01_scout2.nii.gz	2018-10-09T17:21:49	n/a	>|ARa]Qn
anat/sub-sid11_ses-01_scout3.nii.gz	2018-10-09T17:21:49	n/a	]Y:^Jl+5
anat/sub-sid11_ses-01_T1w__dup-01.nii.gz	2018-10-09T17:31:13	n/a	H&a.?@[o
anat/sub-sid11_ses-01_T1w.nii.gz	2018-10-09T17:31:14	n/a	4NV\Ur.z
anat/sub-sid11_ses-01_T1w__dup-02.nii.gz	2018-10-09T17:31:14	n/a	T.]n!OBH
fmap/sub-sid11_ses-01_dir-AP_epi.nii.gz	2018-10-09T17:35:58	n/a	L4.$h^8q
fmap/sub-sid11_ses-01_dir-PA_epi.nii.gz	2018-10-09T17:37:05	n/a	8Wyb:O(_
func/sub-sid11_ses-01_task-volumetest_bold.nii.gz	2018-10-09T17:39:06	n/a	{vsO$`'9
func/sub-sid11_ses-01_task-roomvideo_run-01_bold.nii.gz	2018-10-09T17:42:50	n/a	{]w@,&HR
func/sub-sid11_ses-01_task-roomvideo_run-02_bold.nii.gz	2018-10-09T17:48:33	n/a	"Xt;<B|Q"""
func/sub-sid11_ses-01_task-pathvideo_bold.nii.gz	2018-10-09T17:54:13	n/a	d|+kVw,'
